,Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers,-log10(pValue)
13,R-HSA-3000157,Laminin interactions,5,31,0.0020472856954167,0.1339155628483007,0.9582515491555914,12,15,0.0010766580534022,9606,Homo sapiens,LAMA5;LAMB2;ITGA1;ITGA7,,R-HSA-216051;R-HSA-2426676;R-HSA-2328145;R-HSA-216048;R-HSA-4084507;R-HSA-2426530;R-HSA-4084505;R-HSA-3907292;R-HSA-2426450;R-HSA-2396083;R-HSA-2327803;R-HSA-216058,0.8731689490045121
14,R-HSA-5655253,Signaling by FGFR2 in disease,8,58,0.0038304054946506,0.1344375089690089,0.9582515491555914,27,28,0.0020097616996841,9606,Homo sapiens,KRAS;FGFR2,,R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-5655233;R-HSA-2033479;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-5655241;R-HSA-2033472;R-HSA-2077424;R-HSA-5655268;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-5655339;R-HSA-2029984,0.871479543294471
15,R-GGA-190704,Oligomerization of connexins into connexons,1,1,0.00011397310234784592,0.1386025731063963,0.9974743987201626,1,1,0.00014721036360959813,9031,Gallus gallus,GJB1,,R-GGA-190681,0.8582287071301549
16,R-SSC-381340,Transcriptional regulation of white adipocyte differentiation,2,5,0.0005001000200040008,0.1401684283461359,0.9921970602113253,2,2,0.0002667733760170735,9823,Sus scrofa,PPARG,,R-SSC-381262;R-SSC-9732629,0.8533497962061993
17,R-XTR-190704,Oligomerization of connexins into connexons,1,1,0.00011782726522917404,0.1429379656190186,0.9971887447023138,1,1,0.00016321201240411296,8364,Xenopus tropicalis,GJB1,,R-XTR-190681,0.8448524033368644
18,R-HSA-68689,CDC6 association with the ORC:origin complex,2,8,0.0005283317923656056,0.1528574031858012,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,MCM8;ORC3L,,R-HSA-68688;R-HSA-9749215,0.8157135226893979
19,R-HSA-9652817,Signaling by MAPK mutants,2,8,0.0005283317923656056,0.1528574031858012,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,DUSP10;DUSP9,,R-HSA-9652816,0.8157135226893979
20,R-HSA-5619058,"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",1,2,0.0001320829480914014,0.1587849955908701,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,SLCO1B3,,R-HSA-5661198,0.7991905386844923
21,R-HSA-5654696,Downstream signaling of activated FGFR2,6,42,0.0027737419099194,0.1598860301200996,0.9582515491555914,22,23,0.0016508756818834,9606,Homo sapiens,KRAS;FGFR2,,R-HSA-5654614;R-HSA-5654615;R-HSA-5654612;R-HSA-5654608;R-HSA-5654622;R-HSA-5654399;R-HSA-5654620;R-HSA-5654397;R-HSA-5654618;R-HSA-5654406;R-HSA-5654407;R-HSA-5654404;R-HSA-5654402;R-HSA-5654147;R-HSA-5654607;R-HSA-5654159;R-HSA-8941618;R-HSA-5654701;R-HSA-5654605;R-HSA-5654157;R-HSA-5654603;R-HSA-5654697,0.7961894806364838
22,R-HSA-179812,GRB2 events in EGFR signaling,3,16,0.0010566635847312,0.1623722294996081,0.9582515491555914,2,3,0.0002153316106804479,9606,Homo sapiens,KRAS;EGFR,,R-HSA-177938;R-HSA-177943,0.789488246070092
23,R-HSA-1839126,FGFR2 mutant receptor activation,6,43,0.0028397833839651,0.1721250250084108,0.9582515491555914,17,18,0.0012919896640826,9606,Homo sapiens,FGFR2,,R-HSA-8853319;R-HSA-2029983;R-HSA-8853313;R-HSA-2033490;R-HSA-8853320;R-HSA-2077424;R-HSA-2033488;R-HSA-2033486;R-HSA-2029992;R-HSA-2033479;R-HSA-8851710;R-HSA-2029988;R-HSA-2029989;R-HSA-2033474;R-HSA-2029984;R-HSA-2067713;R-HSA-2033472,0.7641559836354468
24,R-HSA-5654221,Phospholipase C-mediated cascade; FGFR2,4,25,0.0016510368511425,0.1729397494998344,0.9582515491555914,3,3,0.0002153316106804479,9606,Homo sapiens,FGFR2,,R-HSA-5654147;R-HSA-5654159;R-HSA-5654157,0.7621051744278093
25,R-HSA-1226099,Signaling by FGFR in disease,10,82,0.0054154008717474,0.1780775414647961,0.9582515491555914,47,99,0.0071059431524547,9606,Homo sapiens,BCR;STAT1;KRAS;FGFR2,,R-HSA-8853319;R-HSA-2029983;R-HSA-1839065;R-HSA-8853313;R-HSA-1839067;R-HSA-5655326;R-HSA-5654748;R-HSA-5655323;R-HSA-2033490;R-HSA-5655320;R-HSA-8853320;R-HSA-2033488;R-HSA-2033486;R-HSA-5655301;R-HSA-1839112;R-HSA-1839114;R-HSA-5655233;R-HSA-2033479;R-HSA-1839110;R-HSA-1888198;R-HSA-5655245;R-HSA-2033474;R-HSA-2067713;R-HSA-1839107;R-HSA-5655241;R-HSA-2033472;R-HSA-1839100;R-HSA-1839102;R-HSA-1839039;R-HSA-5655347;R-HSA-1839098;R-HSA-1839094;R-HSA-1839031;R-HSA-1839095;R-HSA-1839091;R-HSA-2077424;R-HSA-5655268;R-HSA-1839080;R-HSA-2029992;R-HSA-5655343;R-HSA-8851710;R-HSA-1839078;R-HSA-2029988;R-HSA-2029989;R-HSA-5655277;R-HSA-5655339;R-HSA-2029984,0.7493908488294652
26,R-HSA-8857538,PTK6 promotes HIF1A stabilization,2,9,0.0005943732664113062,0.1833111582074362,0.9582515491555914,6,6,0.0004306632213608958,9606,Homo sapiens,GPNMB;EGFR,,R-HSA-8857555;R-HSA-8857583;R-HSA-8857565;R-HSA-8857549;R-HSA-9634702;R-HSA-8857577,0.7368110985924625
27,R-HSA-113507,E2F-enabled inhibition of pre-replication complex formation,2,9,0.0005943732664113062,0.1833111582074362,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,MCM8;ORC3L,,R-HSA-113638,0.7368110985924625
28,R-HSA-6802953,RAS signaling downstream of NF1 loss-of-function variants,2,9,0.0005943732664113062,0.1833111582074362,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,KRAS,,R-HSA-6802837,0.7368110985924625
29,R-HSA-1059683,Interleukin-6 signaling,3,17,0.0011227050587769,0.1834928466760638,0.9582515491555914,16,20,0.0014355440712029,9606,Homo sapiens,STAT1;JAK1,,R-HSA-1112690;R-HSA-1112755;R-HSA-1112565;R-HSA-1112727;R-HSA-1112602;R-HSA-1112538;R-HSA-1112604;R-HSA-1067646;R-HSA-1112510;R-HSA-1112703;R-HSA-1112514;R-HSA-1067651;R-HSA-1112708;R-HSA-1067688;R-HSA-1067659;R-HSA-1112587,0.7363808617098052
30,R-HSA-190241,FGFR2 ligand binding and activation,4,26,0.0017170783251882,0.1899685943440474,0.9582515491555914,4,5,0.0003588860178007465,9606,Homo sapiens,FGFR2,,R-HSA-190258;R-HSA-190260;R-HSA-190408;R-HSA-190413,0.7213181907863561
31,R-HSA-112412,SOS-mediated signalling,2,10,0.000660414740457007,0.2145342073661971,0.9582515491555914,1,2,0.0001435544071202986,9606,Homo sapiens,KRAS,,R-HSA-109817,0.6685034499318415
32,R-HSA-9022707,MECP2 regulates transcription factors,2,10,0.000660414740457007,0.2145342073661971,0.9582515491555914,2,8,0.0005742176284811944,9606,Homo sapiens,PPARG,,R-HSA-9017441;R-HSA-9017447,0.6685034499318415
33,R-RNO-3371511,HSF1 activation,2,7,0.0006750892082168001,0.2215416316796482,0.9907144498866054,4,6,0.0007595898214963919,10116,Rattus norvegicus,YWHAE;HSP90AB1,,R-RNO-3371586;R-RNO-5324632;R-RNO-5082409;R-RNO-3371527,0.6545446499834885
34,R-HSA-9670439,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",4,28,0.0018491612732796,0.2254708968612151,0.9582515491555914,5,11,0.0007895492391616423,9606,Homo sapiens,STAT1;KRAS,,R-HSA-9670417;R-HSA-9670416;R-HSA-9670436;R-HSA-9670426;R-HSA-9670412,0.6469095076586135
35,R-HSA-9669938,Signaling by KIT in disease,4,28,0.0018491612732796,0.2254708968612151,0.9582515491555914,5,26,0.0018662072925638,9606,Homo sapiens,STAT1;KRAS,,R-HSA-9670417;R-HSA-9670416;R-HSA-9670436;R-HSA-9670426;R-HSA-9670412,0.6469095076586135
36,R-GGA-3371511,HSF1 activation,2,6,0.0006838386140870754,0.2257284009591177,0.9974743987201626,3,5,0.0007360518180479906,9031,Gallus gallus,YWHAE;HSP90AB1,,R-GGA-3371586;R-GGA-5082409;R-GGA-3371527,0.6464137949149613
37,R-HSA-180336,SHC1 events in EGFR signaling,3,19,0.0012547880068683,0.2276265984538849,0.9582515491555914,4,4,0.0002871088142405972,9606,Homo sapiens,KRAS;EGFR,,R-HSA-177936;R-HSA-177925;R-HSA-177945;R-HSA-177933,0.6427769914561587
38,R-HSA-171007,p38MAPK events,3,19,0.0012547880068683,0.2276265984538849,0.9582515491555914,3,5,0.0003588860178007465,9606,Homo sapiens,KRAS;MAPK13,,R-HSA-171026;R-HSA-171011;R-HSA-170986,0.6427769914561587
39,R-HSA-9673770,Signaling by PDGFRA extracellular domain mutants,3,19,0.0012547880068683,0.2276265984538849,0.9582515491555914,2,7,0.0005024404249210451,9606,Homo sapiens,STAT1;KRAS,,R-HSA-9672163;R-HSA-9672159,0.6427769914561587
40,R-HSA-9673767,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",3,19,0.0012547880068683,0.2276265984538849,0.9582515491555914,2,7,0.0005024404249210451,9606,Homo sapiens,STAT1;KRAS,,R-HSA-9672176;R-HSA-9672170,0.6427769914561587
41,R-HSA-8853333,Signaling by FGFR2 fusions,1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,FGFR2,,R-HSA-8853319;R-HSA-8853313,0.6411842516352201
42,R-HSA-5619092,"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,SLC9A6,,R-HSA-5661039,0.6411842516352201
43,R-HSA-5656364,Defective SLC5A1 causes congenital glucose/galactose malabsorption (GGM),1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,SLC5A1,,R-HSA-5656356,0.6411842516352201
44,R-HSA-190704,Oligomerization of connexins into connexons,1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,2,3,0.0002153316106804479,9606,Homo sapiens,GJB1,,R-HSA-190681;R-HSA-190687,0.6411842516352201
45,R-HSA-432030,Transport of glycerol from adipocytes to the liver by Aquaporins,1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,1,2,0.0001435544071202986,9606,Homo sapiens,AQP7,,R-HSA-432074,0.6411842516352201
46,R-HSA-190827,Transport of connexins along the secretory pathway,1,3,0.0001981244221371021,0.2284629332164351,0.9582515491555914,1,2,0.0001435544071202986,9606,Homo sapiens,GJB1,,R-HSA-190698,0.6411842516352201
47,R-SSC-5627117,RHO GTPases Activate ROCKs,2,7,0.0007001400280056011,0.2335435480669871,0.9921970602113253,2,2,0.0002667733760170735,9823,Sus scrofa,ROCK2,,R-SSC-9680443;R-SSC-419049,0.6316321261394597
48,R-CFA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,1,2,0.00020578248791027883,0.2361600461249932,0.9928297628453584,1,1,0.00013497098123903362,9615,Canis familiaris,ESR1,,R-CFA-8937369,0.6267935750339323
49,R-XTR-3371511,HSF1 activation,2,6,0.0007069635913750442,0.2368196722336515,0.9971887447023138,3,5,0.0008160600620205648,8364,Xenopus tropicalis,YWHAE;HSP90AB1,,R-XTR-3371586;R-XTR-5082409;R-XTR-3371527,0.6255822242985162
50,R-CFA-8857538,PTK6 promotes HIF1A stabilization,2,7,0.0007202387076859759,0.2431998692425808,0.9928297628453584,5,5,0.0006748549061951681,9615,Canis familiaris,GPNMB;EGFR,,R-CFA-8857549;R-CFA-8857577;R-CFA-9634702;R-CFA-8857555;R-CFA-8857583,0.6140366628994708
51,R-HSA-9648895,Response of EIF2AK1 (HRI) to heme deficiency,4,29,0.0019152027473253,0.2438200554438292,0.9582515491555914,4,20,0.0014355440712029,9606,Homo sapiens,GRB10;TRIB3,,R-HSA-9635927;R-HSA-9653894;R-HSA-9654792;R-HSA-9635912,0.6129305743109197
52,R-HSA-8985947,Interleukin-9 signaling,2,11,0.0007264562145027077,0.2461905643660661,0.9582515491555914,10,13,0.0009331036462819408,9606,Homo sapiens,STAT1;JAK1,,R-HSA-8985929;R-HSA-8985914;R-HSA-8985981;R-HSA-8985900;R-HSA-8985966;R-HSA-8985973;R-HSA-8985988;R-HSA-9011748;R-HSA-8963734;R-HSA-8985943,0.6087285960930772
53,R-HSA-1169092,Activation of RAS in B cells,2,11,0.0007264562145027077,0.2461905643660661,0.9582515491555914,1,2,0.0001435544071202986,9606,Homo sapiens,KRAS,,R-HSA-1168636,0.6087285960930772
54,R-HSA-9754706,Atorvastatin ADME,3,20,0.001320829480914,0.2503943836115807,0.9582515491555914,5,12,0.0008613264427217916,9606,Homo sapiens,PON3;ABCC2;SLCO1B3,,R-HSA-9756150;R-HSA-9756177;R-HSA-9757010;R-HSA-9757139;R-HSA-9756136,0.6013754166511207
55,R-HSA-5675221,Negative regulation of MAPK pathway,6,49,0.0032360322282393,0.2525468703341706,0.9582515491555914,8,17,0.0012202124605225,9606,Homo sapiens,DUSP10;KSR1;PPP2R1A;KRAS;DUSP9,,R-HSA-5674022;R-HSA-5675431;R-HSA-5674018;R-HSA-5674019;R-HSA-5675376;R-HSA-5675373;R-HSA-5675417;R-HSA-5675433,0.5976580090760891
56,R-MMU-8857538,PTK6 promotes HIF1A stabilization,2,8,0.0007417022065640646,0.2535290260583978,0.9874282648238504,5,5,0.00061020258725897,10090,Mus musculus,GPNMB;EGFR,,R-MMU-8857577;R-MMU-8857555;R-MMU-8857549;R-MMU-9634702;R-MMU-8857583,0.5959723119308201
57,R-MMU-3371511,HSF1 activation,2,8,0.0007417022065640646,0.2535290260583978,0.9874282648238504,4,6,0.000732243104710764,10090,Mus musculus,YWHAE;HSP90AB1,,R-MMU-3371586;R-MMU-5082409;R-MMU-3371527;R-MMU-5324632,0.5959723119308201
58,R-GGA-9020956,Interleukin-27 signaling,1,2,0.00022794620469569185,0.2580070925773532,0.9974743987201626,2,2,0.00029442072721919626,9031,Gallus gallus,STAT1,,R-GGA-8950733;R-GGA-8950782,0.5883683551806902
59,R-GGA-9020558,Interleukin-2 signaling,1,2,0.00022794620469569185,0.2580070925773532,0.9974743987201626,1,1,0.00014721036360959813,9031,Gallus gallus,JAK1,,R-GGA-451900,0.5883683551806902
60,R-GGA-8866910,TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,1,2,0.00022794620469569185,0.2580070925773532,0.9974743987201626,1,1,0.00014721036360959813,9031,Gallus gallus,ESR1,,R-GGA-8937369,0.5883683551806902
61,R-HSA-9703648,Signaling by FLT3 ITD and TKD mutants,4,30,0.001981244221371,0.2624859474383354,0.9582515491555914,2,24,0.0017226528854435,9606,Homo sapiens,PIM1;KRAS,,R-HSA-9703436;R-HSA-9695853,0.5808939422136422
62,R-BTA-8857538,PTK6 promotes HIF1A stabilization,2,8,0.0007663569307404924,0.2654044923396582,0.9917786650805974,5,5,0.0006307556452630251,9913,Bos taurus,GPNMB;EGFR,,R-BTA-8857577;R-BTA-8857555;R-BTA-8857583;R-BTA-8857549;R-BTA-9634702,0.5760917303720633
63,R-BTA-3371511,HSF1 activation,2,8,0.0007663569307404924,0.2654044923396582,0.9917786650805974,4,6,0.0007569067743156302,9913,Bos taurus,YWHAE;HSP90AB1,,R-BTA-3371586;R-BTA-5082409;R-BTA-3371527;R-BTA-5324632,0.5760917303720633
64,R-XTR-447115,Interleukin-12 family signaling,1,2,0.00023565453045834803,0.2654580214638357,0.9971887447023138,2,2,0.0003264240248082259,8364,Xenopus tropicalis,STAT1,,R-XTR-8950782;R-XTR-8950733,0.5760041468538237
65,R-XTR-9020956,Interleukin-27 signaling,1,2,0.00023565453045834803,0.2654580214638357,0.9971887447023138,2,2,0.0003264240248082259,8364,Xenopus tropicalis,STAT1,,R-XTR-8950782;R-XTR-8950733,0.5760041468538237
66,R-RNO-8857538,PTK6 promotes HIF1A stabilization,2,8,0.0007715305236763429,0.2678967642839601,0.9907144498866054,5,5,0.0006329915179136599,10116,Rattus norvegicus,GPNMB;EGFR,,R-RNO-8857583;R-RNO-9634702;R-RNO-8857549;R-RNO-8857577;R-RNO-8857555,0.5720325318643839
67,R-HSA-1963640,GRB2 events in ERBB2 signaling,3,21,0.0013868709549597,0.2734755816522241,0.9582515491555914,3,4,0.0002871088142405972,9606,Homo sapiens,KRAS;EGFR,,R-HSA-1250498;R-HSA-1250488;R-HSA-1306972,0.5630814452981038
68,R-HSA-9020958,Interleukin-21 signaling,2,12,0.0007924976885484084,0.2779945445433194,0.9582515491555914,5,5,0.0003588860178007465,9606,Homo sapiens,STAT1;JAK1,,R-HSA-9006873;R-HSA-9006844;R-HSA-9005980;R-HSA-9006850;R-HSA-9006870,0.5559637267365288
69,R-HSA-9634635,Estrogen-stimulated signaling through PRKCZ,2,12,0.0007924976885484084,0.2779945445433194,0.9582515491555914,3,6,0.0004306632213608958,9606,Homo sapiens,KRAS,,R-HSA-9632918;R-HSA-9632906;R-HSA-9632910,0.5559637267365288
70,R-GGA-8857538,PTK6 promotes HIF1A stabilization,2,7,0.0007978117164349213,0.2805525089336464,0.9974743987201626,5,5,0.0007360518180479906,9031,Gallus gallus,GPNMB;EGFR,,R-GGA-9634702;R-GGA-8857583;R-GGA-8857549;R-GGA-8857555;R-GGA-8857577,0.5519858431210446
71,R-HSA-5654695,PI-3K cascade:FGFR2,4,31,0.0020472856954167,0.2814085555762506,0.9582515491555914,6,7,0.0005024404249210451,9606,Homo sapiens,FGFR2,,R-HSA-5654614;R-HSA-5654612;R-HSA-5654622;R-HSA-5654620;R-HSA-5654701;R-HSA-5654697,0.5506627029813305
72,R-SSC-8857538,PTK6 promotes HIF1A stabilization,2,8,0.0008001600320064013,0.2816826661140289,0.9921970602113253,5,5,0.0006669334400426837,9823,Sus scrofa,GPNMB;EGFR,,R-SSC-9634702;R-SSC-8857583;R-SSC-8857549;R-SSC-8857577;R-SSC-8857555,0.5502398773402748
73,R-HSA-5654727,Negative regulation of FGFR2 signaling,5,41,0.0027077004358737,0.2828426946442286,0.9582515491555914,10,14,0.001004880849842,9606,Homo sapiens,PPP2R1A;FGFR2,,R-HSA-934559;R-HSA-5654677;R-HSA-1295632;R-HSA-5654562;R-HSA-1295622;R-HSA-1295609;R-HSA-1549564;R-HSA-1295599;R-HSA-1295613;R-HSA-5654729,0.5484550338819314
74,R-HSA-74751,Insulin receptor signalling cascade,8,72,0.0047549861312904,0.2871680530756755,0.9582515491555914,7,25,0.0017944300890037,9606,Homo sapiens,GRB10;TRIB3;KRAS;FGFR2,,R-HSA-109699;R-HSA-74707;R-HSA-74740;R-HSA-109700;R-HSA-109817;R-HSA-110011;R-HSA-109807,0.5418638762147954
75,R-CFA-9754706,Atorvastatin ADME,3,14,0.0014404774153719,0.2923672403215276,0.9928297628453584,3,7,0.0009447968686732351,9615,Canis familiaris,PON3;ABCC2;SLCO1B3,,R-CFA-9757010;R-CFA-9757139;R-CFA-9756177,0.5340712915795847
76,R-HSA-9649913,RAS GTPase cycle mutants,1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,2,2,0.0001435544071202986,9606,Homo sapiens,KRAS,,R-HSA-9651280;R-HSA-6802834,0.534062022021482
77,R-HSA-5083627,Defective LARGE causes MDDGA6 and MDDGB6,1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,LARGE,,R-HSA-6785668,0.534062022021482
78,R-HSA-9753510,Signaling by RAS GAP mutants,1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,KRAS,,R-HSA-9651280,0.534062022021482
79,R-HSA-5357609,Glycogen storage disease type II (GAA),1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,GAA,,R-HSA-9036729,0.534062022021482
80,R-HSA-9753512,Signaling by RAS GTPase mutants,1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,KRAS,,R-HSA-6802834,0.534062022021482
81,R-HSA-5678771,"Defective ABCB4 causes PFIC3, ICP3 and GBD1",1,4,0.0002641658961828028,0.2923734806588031,0.9582515491555914,1,1,7.17772035601493e-05,9606,Homo sapiens,ABCB4,,R-HSA-5678749,0.534062022021482
82,R-HSA-5637812,Signaling by EGFRvIII in Cancer,3,22,0.0014529124290054,0.2967631375195436,0.9582515491555914,17,18,0.0012919896640826,9606,Homo sapiens,KRAS;EGFR,,R-HSA-5637808;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-5637766;R-HSA-1248002;R-HSA-5637764;R-HSA-5637796;R-HSA-5637765;R-HSA-5637794;R-HSA-5637795;R-HSA-5637792;R-HSA-5637806;R-HSA-1248655;R-HSA-5637770;R-HSA-5637800;R-HSA-5637801,0.5275900460011683
83,R-HSA-5637810,Constitutive Signaling by EGFRvIII,3,22,0.0014529124290054,0.2967631375195436,0.9582515491555914,17,18,0.0012919896640826,9606,Homo sapiens,KRAS;EGFR,,R-HSA-5637808;R-HSA-1247999;R-HSA-5638137;R-HSA-5637798;R-HSA-5637766;R-HSA-1248002;R-HSA-5637764;R-HSA-5637796;R-HSA-5637765;R-HSA-5637794;R-HSA-5637795;R-HSA-5637792;R-HSA-5637806;R-HSA-1248655;R-HSA-5637770;R-HSA-5637800;R-HSA-5637801,0.5275900460011683
84,R-HSA-9703465,Signaling by FLT3 fusion proteins,4,32,0.0021133271694624,0.3005295083268584,0.9582515491555914,2,18,0.0012919896640826,9606,Homo sapiens,PIM1;KRAS,,R-HSA-9703441;R-HSA-9703436,0.5221128791542498
85,R-MMU-432030,Transport of glycerol from adipocytes to the liver by Aquaporins,1,3,0.0002781383274615242,0.3052017148689355,0.9874282648238504,1,2,0.000244081034903588,10090,Mus musculus,AQP7,,R-MMU-432074,0.5154130304942753
86,R-HSA-9020956,Interleukin-27 signaling,2,13,0.0008585391625941091,0.3097047475565271,0.9582515491555914,11,20,0.0014355440712029,9606,Homo sapiens,STAT1;JAK1,,R-HSA-8950537;R-HSA-8950441;R-HSA-8950716;R-HSA-8950733;R-HSA-8950782;R-HSA-8950210;R-HSA-8950340;R-HSA-448427;R-HSA-8950485;R-HSA-1067646;R-HSA-8950518,0.5090521371624289
87,R-BTA-2179392,EGFR Transactivation by Gastrin,2,9,0.0008621515470830539,0.3114323823912008,0.9917786650805974,3,3,0.0003784533871578151,9913,Bos taurus,KRAS;EGFR,,R-BTA-2179407;R-BTA-2179415;R-BTA-2179387,0.5066362319649736
88,R-BTA-9616222,Transcriptional regulation of granulopoiesis,1,3,0.00028738384902768463,0.31356210469065,0.9917786650805974,1,1,0.00012615112905260502,9913,Bos taurus,RARA,,R-BTA-9617067,0.5036764291451039
89,R-BTA-432030,Transport of glycerol from adipocytes to the liver by Aquaporins,1,3,0.00028738384902768463,0.31356210469065,0.9917786650805974,1,2,0.00025230225810521004,9913,Bos taurus,AQP7,,R-BTA-432074,0.5036764291451039
90,R-RNO-432030,Transport of glycerol from adipocytes to the liver by Aquaporins,1,3,0.0002893239463786286,0.3153036635711195,0.9907144498866054,1,2,0.000253196607165464,10116,Rattus norvegicus,AQP7,,R-RNO-432074,0.5012709830755088
